City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
120,bredasdorp,-34.5322,20.0403,15.61,93,100,1.52,ZA,1713492803
121,tura,25.5198,90.2201,28.46,61,1,2.95,IN,1713492804
122,cape coast,5.1053,-1.2466,28.11,89,92,4.27,GH,1713492806
123,tvoroyri,61.5556,-6.8111,3.38,64,68,8.55,FO,1713492807
124,trenggalek,-8.05,111.7167,27.84,81,55,2.35,ID,1713492809
125,nueva gerona,21.8833,-82.8,24.88,64,3,2.09,CU,1713492810
126,neiafu,-18.65,-173.9833,27.33,78,68,8.63,TO,1713492811
127,olonkinbyen,70.9221,-8.7187,-7.11,81,100,13.5,SJ,1713492813
128,gurlan,41.8447,60.3919,17.04,41,0,6.47,UZ,1713492814
129,kodiak,57.79,-152.4072,5.73,93,100,10.8,US,1713492815
130,anadyr,64.75,177.4833,-13.72,77,0,6.0,RU,1713492816
131,kapuskasing,49.4169,-82.4331,4.61,95,90,2.66,CA,1713492818
132,goure,13.9835,10.2704,28.14,13,100,3.75,NE,1713492819
133,nuku'alofa,-21.1333,-175.2,25.57,73,99,8.01,TO,1713492820
134,afaahiti,-17.75,-149.2833,28.93,82,81,6.34,PF,1713492821
135,invercargill,-46.4,168.35,8.34,96,100,4.47,NZ,1713492822
136,ancud,-41.8697,-73.8203,11.31,80,100,11.62,CL,1713492823
137,kyabe,9.4515,18.9449,30.4,28,99,1.86,TD,1713492824
138,thompson,55.7435,-97.8558,-4.34,92,100,7.88,CA,1713492826
139,atafu village,-8.5421,-172.5159,29.97,73,10,5.4,TK,1713492827
140,mirriah,13.7073,9.1501,28.14,14,100,3.52,NE,1713492828
141,constantia,44.1833,28.65,6.38,78,1,5.63,RO,1713492829
142,la'ie,21.6477,-157.9253,26.98,78,62,7.57,US,1713492830
143,mansa,29.9833,75.3833,28.08,40,0,4.63,IN,1713492831
144,langfang,39.5097,116.6947,20.28,21,100,6.99,CN,1713492834
145,port alfred,-33.5906,26.891,16.77,97,45,2.54,ZA,1713492835
146,lompoc,34.6391,-120.4579,18.34,86,20,2.57,US,1713492598
147,dunedin,-45.8742,170.5036,13.78,77,100,3.58,NZ,1713492577
148,tual,-5.6667,132.75,28.77,72,99,2.9,ID,1713492839
149,kavaratti,10.5669,72.642,29.53,70,75,1.96,IN,1713492841
150,dongtai,32.8523,120.3095,18.1,55,100,6.79,CN,1713492842
151,prum,50.2167,6.4167,5.62,82,100,6.3,DE,1713492843
152,pangody,65.85,74.4859,-18.63,94,81,7.19,RU,1713492844
153,mount isa,-20.7333,139.5,28.87,30,62,6.69,AU,1713492845
154,kapa'a,22.0752,-159.319,23.99,84,100,7.72,US,1713492846
155,udachny,66.4167,112.4,-0.31,89,81,6.33,RU,1713492848
156,georgetown,5.4112,100.3354,30.96,70,20,1.03,MY,1713492617
157,tommot,58.9564,126.2925,1.47,99,100,4.52,RU,1713492850
158,teknaf,20.8624,92.3058,29.29,78,45,2.38,BD,1713492851
159,saldanha,-33.0117,17.9442,15.01,88,100,2.79,ZA,1713492852
160,qaqortoq,60.7167,-46.0333,-1.21,98,100,1.62,GL,1713492854
161,kalispell,48.1958,-114.3129,4.95,47,0,6.17,US,1713492780
162,ugoofaaru,5.6667,73.0,29.34,75,65,3.09,MV,1713492856
163,spittal an der drau,46.8,13.5,-0.17,86,6,2.38,AT,1713492857
164,conception bay south,47.4999,-52.9981,1.36,98,100,5.68,CA,1713492858
165,acapulco de juarez,16.8634,-99.8901,25.9,89,20,3.6,MX,1713492629
166,luderitz,-26.6481,15.1594,15.39,86,38,3.09,NA,1713492860
167,kerema,-7.9631,145.7785,28.18,75,100,1.78,PG,1713492861
168,gamay,12.3854,125.2979,30.72,61,21,3.15,PH,1713492863
169,petropavlovsk-kamchatsky,53.0452,158.6483,5.33,95,75,5.0,RU,1713492864
170,weno,7.4515,151.8468,28.97,84,100,3.6,FM,1713492866
171,hirara,24.8,125.2833,23.14,65,100,5.11,JP,1713492867
172,kokopo,-4.352,152.2633,29.82,69,6,3.36,PG,1713492869
173,columbia falls,48.3725,-114.1815,4.75,44,0,6.17,US,1713492870
174,rongelap,11.1635,166.8941,27.25,84,35,9.85,MH,1713492871
175,cromwell,41.5951,-72.6454,8.01,88,100,1.54,US,1713492872
176,sanya,18.2431,109.505,29.47,72,28,4.96,CN,1713492875
177,oeiras do para,-2.0031,-49.8544,24.14,99,100,0.3,BR,1713492876
178,shimoda,34.6667,138.95,19.56,54,8,3.3,JP,1713492877
179,alice springs,-23.7,133.8833,21.75,24,0,8.75,AU,1713492847
180,puerto ayora,-0.7393,-90.3518,24.75,97,99,0.89,EC,1713492879
181,concepcion,-36.827,-73.0498,13.54,93,100,1.38,CL,1713492880
182,kzyltu,53.6364,72.3414,13.12,89,100,4.39,KZ,1713492881
183,fujin,47.26,132.0322,8.73,75,100,6.78,CN,1713492883
184,necochea,-38.5473,-58.7368,13.33,70,93,4.73,AR,1713492884
185,gumdag,39.2061,54.5906,19.41,37,0,6.39,TM,1713492885
186,inhambane,-23.865,35.3833,22.05,89,7,2.14,MZ,1713492886
187,cidade velha,14.9167,-23.6167,28.26,24,0,9.26,CV,1713492887
188,alesund,62.4723,6.1549,7.09,60,100,3.6,NO,1713492888
189,brejo,-3.6844,-42.7503,22.85,98,100,0.83,BR,1713492889
190,progreso,21.2833,-89.6667,30.06,82,0,7.99,MX,1713492891
191,itirucu,-13.5317,-40.1503,19.47,99,55,1.72,BR,1713492892
192,puli,23.9664,120.9695,27.14,76,80,1.92,TW,1713492893
193,sitka,57.0531,-135.33,15.94,25,0,4.12,US,1713492661
194,roxas city,11.5853,122.7511,28.97,64,88,5.49,PH,1713492895
195,pauini,-7.7136,-66.9764,23.48,97,99,1.52,BR,1713492896
196,furmanov,57.2508,41.1058,6.66,95,100,6.04,RU,1713492897
197,klyuchi,52.2667,79.1667,15.03,71,99,5.2,RU,1713492711
198,amos,48.5669,-78.1162,3.81,97,100,2.74,CA,1713492900
199,hadibu,12.65,54.0333,27.88,82,33,2.58,YE,1713492901
200,revda,56.801,59.9303,9.8,98,99,1.45,RU,1713492902
201,monte patria,-30.6919,-70.9467,18.92,55,2,1.2,CL,1713492903
202,islamorada,24.9243,-80.6278,25.0,86,84,6.38,US,1713492904
203,novouzensk,50.4592,48.1431,15.55,46,100,6.66,RU,1713492905
204,fandrandava,-21.5208,47.2453,10.59,96,99,0.34,MG,1713492907
205,susuman,62.7833,148.1667,-4.45,86,57,0.89,RU,1713492908
206,las heras,-46.5419,-68.9359,9.74,46,0,13.78,AR,1713492909
207,okhotsk,59.3833,143.3,-0.04,97,33,2.72,RU,1713492910
208,ambon,-3.6954,128.1814,31.08,70,40,4.12,ID,1713492665
209,murghob,38.1702,73.9667,-4.2,73,100,1.99,TJ,1713492913
210,port lincoln,-34.7333,135.8667,15.84,61,100,6.21,AU,1713492914
211,vorgashor,67.5833,63.95,-22.89,98,68,3.59,RU,1713492915
212,sirte,31.2089,16.5887,19.3,75,3,2.01,LY,1713492916
213,mossel bay,-34.1831,22.146,16.58,90,87,1.95,ZA,1713492917
214,marsh harbour,26.5412,-77.0636,23.02,70,1,3.77,BS,1713492918
215,dame-marie,18.5667,-74.4167,25.43,84,4,6.81,HT,1713492919
216,ujae,8.9322,165.7642,27.7,83,28,9.08,MH,1713492921
217,tromso,69.6496,18.957,-4.99,63,94,1.03,NO,1713492922
218,umba,66.6871,34.3429,-18.01,99,77,2.75,RU,1713492923
219,pueblo nuevo,23.3833,-105.3833,13.05,52,0,1.1,MX,1713492924
220,papao,-17.75,-149.55,29.82,79,64,6.79,PF,1713492925
221,ruayer,43.0537,-5.5502,7.16,85,4,2.57,ES,1713492926
222,la romana,18.4273,-68.9728,23.73,85,0,4.67,DO,1713492928
223,bandarbeyla,9.4942,50.8122,28.29,78,99,1.04,SO,1713492929
224,belyy yar,53.6039,91.3903,8.94,81,0,7.0,RU,1713492810
225,hinton,53.4001,-117.5857,1.63,27,53,3.5,CA,1713492931
226,antalaha,-14.9003,50.2788,23.52,82,65,4.33,MG,1713492932
227,midvagur,62.0511,-7.1939,2.46,64,100,8.23,FO,1713492933
228,iskateley,67.6803,53.1512,-17.77,95,100,3.13,RU,1713492934
229,cole harbour,44.6724,-63.4751,3.86,78,11,3.58,CA,1713492936
230,ulladulla,-35.35,150.4667,17.65,60,99,4.61,AU,1713492937
231,mount gambier,-37.8333,140.7667,16.48,55,43,5.85,AU,1713492938
232,nguruka,-5.1092,31.0419,19.47,94,100,1.27,TZ,1713492939
233,tanumah,27.1,44.1333,22.8,22,0,2.42,SA,1713492940
234,portland,45.5234,-122.6762,19.02,23,0,3.58,US,1713492057
235,port elizabeth,-33.918,25.5701,16.29,96,12,1.25,ZA,1713492942
236,angaur state,6.906,134.13,28.42,77,100,7.03,PW,1713492944
237,jatai,-17.8814,-51.7144,20.21,94,79,2.14,BR,1713492945
